Part Number,Manufacturer/MPN,DigiKey Link
Y1,ASEMB-26.000MHZ-LY-T,https://www.digikey.com/product-detail/en/abracon-llc/ASEMB-26.000MHZ-LY-T/535-11094-1-ND/2624350
U9,LT1783CS6#TRMPBF,https://www.digikey.com/product-detail/en/linear-technology/LT1783CS6-TRMPBF/LT1783CS6-TRMPBFCT-ND/3830400
U3,AP2112K-3.3TRG1,https://www.digikey.com/product-detail/en/diodes-incorporated/AP2112K-3.3TRG1/AP2112K-3.3TRG1DICT-ND/4505257
C10,CC0603KRX7R9BB122,https://www.digikey.com/product-detail/en/yageo/CC0603KRX7R9BB122/311-1806-1-ND/5195708
C11,CC0603JRNPO9BN560,https://www.digikey.com/product-detail/en/yageo/CC0603JRNPO9BN560/311-1066-1-ND/302976
C15,UMK107B7474KA-TR,https://www.digikey.com/product-detail/en/taiyo-yuden/UMK107B7474KA-TR/587-3170-1-ND/3194939
C19,C0603C569C5GACTU,https://www.digikey.com/product-detail/en/kemet/C0603C569C5GACTU/399-7944-1-ND/3471667
R7,ST4ETA104,https://www.digikey.com/product-detail/en/copal-electronics-inc/ST4ETA104/ST4ETA104CT-ND/738498
U8,LTC6240CS8#PBF,https://www.digikey.com/product-search/en?keywords=LTC6240CS8%23PBF
U2,ESP8266EX,https://world.taobao.com/item/42107731541.htm?fromSite=main&spm=a312a.7700824.w4004-13255850609.6.TIjqaL
U7,FT231XS-U,https://www.digikey.com/product-search/en?keywords=FT231XS-U
U22,CD74HC238PWR,https://www.digikey.com/product-detail/en/texas-instruments/CD74HC238PWR/296-13814-1-ND/513489
IC2,MCP23017-E/SS,https://www.digikey.com/product-search/en?keywords=MCP23017-E%2FSS
IC3,SN74AHC1G04DCKR,https://www.digikey.com/product-detail/en/texas-instruments/SN74AHC1G04DCKR/296-1090-1-ND/276358
U11,LT3469ETS8#TRMPBF,https://www.digikey.com/product-detail/en/linear-technology/LT3469ETS8-TRMPBF/LT3469ETS8-TRMPBFCT-ND/3830402
U1,LT3652EMSE#PBF,https://www.digikey.com/product-search/en?keywords=LT3652EMSE%23PBF
U12,LTC3122EMSE#PBF,https://www.digikey.com/product-search/en?keywords=LTC3122EMSE%23PBF
K1,G5LE-1 DC3,https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/G5LE-1-DC3/Z3695-ND/1815676
R25,RC0603FR-0727RL,https://www.digikey.com/product-detail/en/yageo/RC0603FR-0727RL/311-27.0HRCT-ND/730046
R1,WSLP1206R0500FEA,https://www.digikey.com/product-detail/en/vishay-dale/WSLP1206R0500FEA/WSLP-.05CT-ND/1883296
R3,RC0603FR-079K09L,https://www.digikey.com/product-detail/en/yageo/RC0603FR-079K09L/311-9.09KHRCT-ND/730365
R5,RT0603BRD07196KL,https://www.digikey.com/product-detail/en/yageo/RT0603BRD07196KL/YAG1554CT-ND/5139002
R6,CRCW0603154KFKEA,https://www.digikey.com/product-detail/en/vishay-dale/CRCW0603154KFKEA/541-154KHCT-ND/1180057
R8,RC0603FR-07330KL,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07330KL/311-330KHRCT-ND/730110
R9,RC0603FR-0730KL,https://www.digikey.com/product-detail/en/yageo/RC0603FR-0730KL/311-30.0KHRCT-ND/730087
R10,RC0603FR-07221KL,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07221KL/311-221KHRCT-ND/730011
R13,CRCW06031M02FKEA,https://www.digikey.com/product-detail/en/vishay-dale/CRCW06031M02FKEA/541-1.02MHCT-ND/1180153
R15,RC0603FR-07113KL,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07113KL/311-113KHRCT-ND/729854
R16,RC0603FR-074R7L,https://www.digikey.com/product-detail/en/yageo/RC0603FR-074R7L/YAG3371CT-ND/5962193
R17,RC0603FR-0716K5L,https://www.digikey.com/product-detail/en/yageo/RC0603FR-0716K5L/311-16.5KHRCT-ND/729916
R19,RC0603FR-079K09L,https://www.digikey.com/product-detail/en/yageo/RC0603FR-079K09L/311-9.09KHRCT-ND/730365
R21,RC0603FR-07453KL,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07453KL/311-453KHRCT-ND/730194
D1,CMSH3-40MA TR13,https://www.digikey.com/product-detail/en/central-semiconductor-corp/CMSH3-40MA-TR13/CMSH3-40MA-TR13CT-ND/4897048
U5,AT25SF041-SSHD-T,https://www.digikey.com/product-detail/en/adesto-technologies/AT25SF041-SSHD-T/1265-1131-1-ND/4824165
L2,SRR1240-100M,https://www.digikey.com/product-detail/en/bourns-inc/SRR1240-100M/SRR1240-100MCT-ND/2127387
L3,SRR1240-470M,https://www.digikey.com/product-detail/en/bourns-inc/SRR1240-470M/SRR1240-470MCT-ND/2127397
C9,T495C686M016ATE250,https://www.digikey.com/product-detail/en/kemet/T495C686M016ATE250/399-10452-1-ND/672432
U10,"74LVC2G02DP,125","https://www.digikey.com/product-detail/en/nxp-semiconductors/74LVC2G02DP,125/568-7673-1-ND/2753817"
U21,TLP170D(F),https://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP170D(F)/TLP170D(F)-ND/3056583
IC1,ICM7555IBAZ,https://www.digikey.com/product-detail/en/intersil/ICM7555IBAZ-T/ICM7555IBAZ-TCT-ND/2529159
D3,BZT52C10-7-F,https://www.digikey.com/product-detail/en/diodes-incorporated/BZT52C10-7-F/BZT52C10-FDICT-ND/717846